mtype,step2_type,layer,excitatory,neuron_count,Ri_mod_etype,tau_mod_etype,Vr_mod_etype,Vr,g_leak,C,DeltaT,Vcut,V_res,VT,rheobase
L1_DAC,L1i,1,,58,598.0102793103,30.1679006897,69.8027810345,-69.8027810345,1.6722120582,50.4471273043,2,20,-69.8027810345,-65.8027810345,
L1_DLAC,L1i,1,,24,620.6876,26.94958,69.61802,-69.61802,1.6111164457,43.4189115426,2,20,-69.61802,-65.61802,
L1_HAC,L1i,1,,91,673.5671450549,28.2243,70.7371606593,-70.7371606593,1.4846329833,41.9027267099,2,20,-70.7371606593,-66.7371606593,
L1_NGC-DA,L1i,1,,72,786.0550222222,24.5010613333,70.8235888889,-70.8235888889,1.2721755752,31.1696517937,2,20,-70.8235888889,-66.8235888889,
L1_NGC-SA,L1i,1,,52,703.4744,21.56364,69.83092,-69.83092,1.4215158363,30.6530557473,2,20,-69.83092,-65.83092,
L1_SLAC,L1i,1,,41,894.1107609756,31.2677190244,70.6064390244,-70.6064390244,1.1184296663,34.9707445533,2,20,-70.6064390244,-66.6064390244,
L23_PC,L23_PC,2,1,5877,170.8986,31.1892,73.02252,-73.02252,5.8514230076,182.5012024674,2,20,-73.02252,-69.02252,
L23_LBC,L23_BC,2,,456,552.7678280702,33.2773586842,72.3293653509,-72.3293653509,1.8090777886,60.201330458,2,20,-72.3293653509,-68.3293653509,
L23_NBC,L23_BC,2,,268,502.9118171642,37.1293989552,71.8300056716,-71.8300056716,1.9884201681,73.8288457101,2,20,-71.8300056716,-67.8300056716,
L23_SBC,L23_BC,2,,166,810.2133421687,36.0790701205,71.903413253,-71.903413253,1.2342428197,44.5303332378,2,20,-71.903413253,-67.903413253,
L23_MC,L23_MC,2,,333,859.3269039039,57.2112645045,71.1819583183,-71.1819583183,1.1637014918,66.5768338505,2,20,-71.1819583183,-67.1819583183,
L23_BP,L23_MC/BC,2,,28,1371.886,22.8053477143,73.4184814286,-73.4184814286,0.7289235403,16.6233547935,2,20,-73.4184814286,-69.4184814286,
